Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Region,State,City,Product_Category,Quantity,Unit_Price,Total_Amount,Channel
ORD-100018,2023-11-08,CUST-2160,50,Male,West,California,San Jose,Clothing,8,47.8,382.4,Online
ORD-100019,2024-04-13,CUST-4119,24,Male,West,Washington,Spokane,Beauty,8,105.02,840.16,Online
ORD-100020,2022-07-21,CUST-1993,43,Female,Northeast,New York,New York,Clothing,8,33.92,271.36,Online
ORD-100021,2024-08-05,CUST-5092,73,Female,West,Colorado,Denver,Electronics,1,582.95,582.95,In-Store
ORD-100022,2023-04-30,CUST-3724,44,Female,Midwest,Ohio,Columbus,Clothing,7,15.29,107.03,Online
ORD-100023,2024-07-20,CUST-5673,45,Female,West,California,Los Angeles,Home,4,291.24,1164.96,Online
ORD-100024,2022-05-05,CUST-6138,21,Male,West,Colorado,Colorado Springs,Clothing,1,144.71,144.71,Online
ORD-100025,2023-01-16,CUST-2122,56,Male,Midwest,Ohio,Columbus,Sports,4,153.15,612.6,Online
ORD-100026,2022-06-17,CUST-7868,60,Female,South,Florida,Miami,Home,4,94.37,377.48,Online
ORD-100027,2023-09-07,CUST-8491,38,Female,Northeast,New York,Buffalo,Sports,2,36.85,73.7,Online
ORD-100028,2023-06-28,CUST-3170,40,Female,Midwest,Ohio,Cleveland,Clothing,8,127.56,1020.48,In-Store
ORD-100029,2024-12-19,CUST-1128,60,Female,South,Georgia,Atlanta,Clothing,5,30.58,152.9,Online
ORD-100030,2022-11-15,CUST-5462,36,Female,South,Texas,Austin,Home,8,90.31,722.48,In-Store
ORD-100031,2022-04-15,CUST-2512,58,Male,South,Texas,Houston,Home,3,198.39,595.17,Online
ORD-100032,2024-06-23,CUST-8007,53,Male,Northeast,Pennsylvania,Philadelphia,Sports,1,211.96,211.96,Online
ORD-100033,2022-10-31,CUST-8041,26,Male,South,Texas,Dallas,Clothing,4,105.04,420.16,Online
ORD-100034,2024-04-12,CUST-3532,33,Female,Midwest,Ohio,Columbus,Clothing,6,120.62,723.72,Online
ORD-100035,2023-05-24,CUST-5371,28,Female,Northeast,Massachusetts,Boston,Beauty,4,31.95,127.8,In-Store
ORD-100036,2023-12-18,CUST-6000,70,Female,Midwest,Illinois,Chicago,Clothing,7,59.32,415.24,In-Store
ORD-100037,2023-07-26,CUST-6753,59,Female,South,Texas,Houston,Home,3,182.57,547.71,In-Store
ORD-100038,2022-03-20,CUST-2776,56,Male,South,Florida,Tampa,Sports,2,108.59,217.18,Online
ORD-100039,2023-06-06,CUST-1727,63,Male,Midwest,Ohio,Cleveland,Electronics,6,392.74,2356.44,In-Store
ORD-100040,2022-09-13,CUST-5920,50,Male,West,Washington,Spokane,Home,3,73.72,221.16,In-Store
ORD-100041,2024-02-16,CUST-3851,57,Female,West,Colorado,Denver,Home,5,78.85,394.25,In-Store
ORD-100042,2023-10-22,CUST-8618,46,Male,Midwest,Michigan,Grand Rapids,Clothing,2,53.31,106.62,In-Store
ORD-100043,2023-11-18,CUST-2530,70,Female,Midwest,Michigan,Grand Rapids,Clothing,4,34.89,139.56,Online
ORD-100044,2024-08-31,CUST-2193,47,Male,Midwest,Michigan,Ann Arbor,Beauty,8,53.96,431.68,Online
ORD-100045,2022-01-12,CUST-2746,67,Male,Midwest,Michigan,Ann Arbor,Beauty,1,71.31,71.31,In-Store
ORD-100046,2022-09-06,CUST-8478,26,Female,South,Florida,Tampa,Sports,7,211.03,1477.21,Online
ORD-100047,2022-11-22,CUST-8777,46,Male,Midwest,Michigan,Grand Rapids,Sports,8,164.15,1313.2,Online
ORD-100048,2022-06-08,CUST-5681,33,Male,South,Georgia,Atlanta,Clothing,3,46.22,138.66,In-Store
ORD-100049,2023-03-15,CUST-2052,44,Male,West,Washington,Seattle,Clothing,7,67.58,473.06,In-Store
ORD-100050,2022-02-10,CUST-7232,48,Male,South,Florida,Orlando,Beauty,4,63.71,254.84,Online
ORD-100051,2024-09-21,CUST-1475,42,Male,West,Colorado,Denver,Beauty,3,117.88,353.64,Online
ORD-100052,2024-03-17,CUST-1444,23,Female,Midwest,Ohio,Columbus,Electronics,5,258.51,1292.55,Online
ORD-100053,2023-11-01,CUST-6529,66,Female,South,Florida,Orlando,Electronics,8,60.66,485.28,Online
ORD-100054,2023-12-18,CUST-4673,59,Male,Northeast,New York,New York,Clothing,1,98.88,98.88,Online
ORD-100055,2024-08-27,CUST-2874,54,Female,West,Colorado,Boulder,Home,3,189.65,568.95,In-Store
ORD-100056,2022-08-23,CUST-3683,37,Male,Northeast,Massachusetts,Springfield,Beauty,7,113.56,794.92,Online
ORD-100057,2023-05-13,CUST-2669,62,Female,Northeast,Pennsylvania,Philadelphia,Home,7,205.23,1436.61,Online
ORD-100058,2023-11-30,CUST-1207,72,Male,West,California,San Diego,Home,8,218.05,1744.4,Online
ORD-100059,2024-12-04,CUST-5425,57,Female,West,Washington,Spokane,Sports,5,94.13,470.65,Online
ORD-100060,2022-06-27,CUST-5569,74,Male,West,Colorado,Colorado Springs,Beauty,6,13.16,78.96,In-Store
ORD-100061,2023-01-08,CUST-8988,31,Male,South,Florida,Orlando,Sports,5,147.83,739.15,Online
ORD-100062,2023-01-27,CUST-2402,33,Female,West,Colorado,Denver,Beauty,8,59.3,474.4,Online
ORD-100063,2023-08-26,CUST-4630,43,Female,South,Georgia,Athens,Home,8,174.97,1399.76,Online
ORD-100064,2023-11-09,CUST-6764,62,Male,South,Florida,Miami,Electronics,4,223.55,894.2,In-Store
ORD-100065,2023-01-15,CUST-4138,31,Female,South,Georgia,Athens,Sports,5,245.52,1227.6,In-Store
ORD-100066,2023-08-30,CUST-4727,41,Male,Northeast,Pennsylvania,Allentown,Clothing,5,21.14,105.7,Online
ORD-100067,2023-08-22,CUST-3068,58,Female,West,California,Los Angeles,Sports,5,127.96,639.8,Online
ORD-100068,2023-01-13,CUST-1841,34,Female,West,California,Los Angeles,Beauty,8,18.15,145.2,In-Store
ORD-100069,2022-04-20,CUST-3485,27,Female,South,Texas,Houston,Electronics,7,383.47,2684.29,In-Store
ORD-100070,2023-04-08,CUST-9561,42,Male,West,Washington,Tacoma,Beauty,5,72.55,362.75,Online
ORD-100071,2022-07-23,CUST-4404,58,Male,Northeast,New York,New York,Clothing,2,36.13,72.26,Online
ORD-100072,2024-08-20,CUST-5771,20,Male,South,Georgia,Savannah,Electronics,4,558.15,2232.6,In-Store
ORD-100073,2023-02-10,CUST-7965,25,Female,Midwest,Ohio,Columbus,Electronics,1,141.26,141.26,Online
ORD-100074,2023-08-15,CUST-8195,25,Male,South,Georgia,Savannah,Home,8,142.57,1140.56,Online
ORD-100075,2024-06-03,CUST-6280,56,Male,Northeast,New York,Rochester,Sports,1,249.9,249.9,In-Store
ORD-100076,2023-07-06,CUST-1659,66,Female,West,Colorado,Colorado Springs,Beauty,5,29.96,149.8,Online
ORD-100077,2024-10-04,CUST-2494,48,Male,South,Florida,Tampa,Electronics,3,231.39,694.17,In-Store
ORD-100078,2023-08-14,CUST-7561,70,Female,Northeast,Massachusetts,Boston,Home,5,110.52,552.6,In-Store
ORD-100079,2024-04-07,CUST-9431,70,Other,West,Washington,Seattle,Clothing,6,99.06,594.36,Online
ORD-100080,2024-06-24,CUST-1845,31,Male,Midwest,Ohio,Cleveland,Beauty,2,13.18,26.36,In-Store
ORD-100081,2023-05-06,CUST-3594,37,Female,West,California,Los Angeles,Electronics,8,570.88,4567.04,In-Store
ORD-100082,2022-11-12,CUST-9165,63,Male,South,Florida,Orlando,Beauty,4,60.25,241.0,Online
ORD-100083,2023-01-26,CUST-9327,65,Female,Northeast,Massachusetts,Worcester,Home,5,249.75,1248.75,Online
ORD-100084,2023-09-04,CUST-9022,73,Male,West,Washington,Spokane,Sports,7,124.73,873.11,Online
ORD-100085,2023-01-22,CUST-4912,54,Male,West,California,San Diego,Beauty,7,52.47,367.29,In-Store
ORD-100086,2022-11-08,CUST-9115,20,Male,South,Texas,Dallas,Electronics,8,58.44,467.52,Online
ORD-100087,2022-11-13,CUST-2225,48,Female,South,Florida,Tampa,Beauty,2,103.69,207.38,In-Store
ORD-100088,2024-12-28,CUST-7226,38,Female,West,Colorado,Denver,Sports,2,74.0,148.0,In-Store
ORD-100089,2023-08-12,CUST-4727,65,Male,Northeast,Pennsylvania,Allentown,Electronics,8,141.5,1132.0,Online
ORD-100090,2022-03-01,CUST-1753,38,Female,South,Florida,Orlando,Beauty,3,36.86,110.58,Online
ORD-100091,2023-01-04,CUST-3785,29,Male,West,Colorado,Colorado Springs,Clothing,8,138.23,1105.84,Online
ORD-100092,2024-08-02,CUST-5161,47,Male,Northeast,Massachusetts,Worcester,Sports,3,36.99,110.97,In-Store
ORD-100093,2023-09-05,CUST-7951,62,Male,South,Texas,Dallas,Beauty,2,36.09,72.18,Online
ORD-100094,2023-08-29,CUST-5837,19,Other,West,Washington,Seattle,Sports,1,229.44,229.44,In-Store
ORD-100095,2023-08-10,CUST-4770,56,Female,Midwest,Michigan,Detroit,Sports,5,175.89,879.45,In-Store
ORD-100096,2022-10-08,CUST-2591,75,Female,Northeast,Massachusetts,Worcester,Electronics,6,452.8,2716.8,Online
ORD-100097,2023-08-28,CUST-6352,65,Male,Midwest,Illinois,Naperville,Home,5,252.53,1262.65,Online
ORD-100098,2024-09-13,CUST-5835,65,Female,Northeast,Massachusetts,Boston,Clothing,4,131.12,524.48,In-Store
ORD-100099,2024-03-24,CUST-6992,23,Female,Northeast,Massachusetts,Springfield,Electronics,8,252.72,2021.76,In-Store
ORD-100100,2023-06-21,CUST-7242,70,Female,South,Texas,Austin,Clothing,8,18.38,147.04,In-Store
ORD-100101,2023-11-03,CUST-4626,59,Male,West,Colorado,Boulder,Beauty,2,25.38,50.76,In-Store
ORD-100102,2023-09-16,CUST-9071,25,Male,Midwest,Ohio,Cleveland,Home,7,184.46,1291.22,In-Store
ORD-100103,2024-04-29,CUST-2622,71,Female,West,Washington,Seattle,Home,4,144.15,576.6,In-Store
ORD-100104,2024-01-13,CUST-2627,61,Male,South,Texas,Dallas,Home,4,291.1,1164.4,In-Store
ORD-100105,2024-07-20,CUST-2501,60,Male,Northeast,New York,Buffalo,Clothing,3,121.24,363.72,Online
ORD-100106,2023-03-01,CUST-4538,70,Female,South,Texas,Austin,Electronics,5,522.12,2610.6,Online
ORD-100107,2022-09-24,CUST-9850,34,Female,Northeast,Pennsylvania,Philadelphia,Clothing,1,63.36,63.36,In-Store
ORD-100108,2023-10-26,CUST-1258,29,Male,Midwest,Michigan,Grand Rapids,Sports,2,191.5,383.0,Online
ORD-100109,2024-01-12,CUST-9408,55,Male,Midwest,Michigan,Detroit,Sports,5,125.35,626.75,In-Store
ORD-100110,2022-05-05,CUST-8847,72,Male,Northeast,Massachusetts,Springfield,Beauty,2,108.92,217.84,Online
ORD-100111,2022-10-31,CUST-2076,26,Male,South,Florida,Tampa,Sports,5,124.35,621.75,In-Store
ORD-100112,2022-07-23,CUST-2874,72,Female,Midwest,Ohio,Cleveland,Clothing,7,60.76,425.32,Online
ORD-100113,2024-05-01,CUST-2557,38,Male,South,Florida,Miami,Beauty,2,20.03,40.06,Online
ORD-100114,2024-06-03,CUST-2582,65,Female,Midwest,Michigan,Detroit,Sports,6,174.1,1044.6,Online
ORD-100115,2024-05-16,CUST-1842,36,Female,South,Texas,Austin,Sports,4,55.59,222.36,Online
ORD-100116,2022-08-10,CUST-6736,72,Female,Northeast,Massachusetts,Springfield,Clothing,7,129.1,903.7,In-Store
ORD-100117,2022-02-23,CUST-5381,19,Male,South,Florida,Orlando,Electronics,3,528.42,1585.26,Online
ORD-100118,2024-03-31,CUST-2140,27,Female,Northeast,New York,Rochester,Sports,4,106.52,426.08,Online
ORD-100119,2022-11-19,CUST-7062,37,Female,Northeast,New York,New York,Clothing,1,105.99,105.99,Online
ORD-100120,2024-05-18,CUST-8957,56,Male,South,Texas,Austin,Electronics,6,286.45,1718.7,Online
ORD-100121,2024-09-23,CUST-9633,60,Male,Midwest,Ohio,Cincinnati,Electronics,1,162.43,162.43,In-Store
ORD-100122,2022-10-09,CUST-5186,36,Male,Northeast,Massachusetts,Springfield,Beauty,3,24.21,72.63,Online
ORD-100123,2023-04-17,CUST-9196,53,Female,South,Texas,Dallas,Electronics,7,60.31,422.17,In-Store
ORD-100124,2023-10-04,CUST-8033,54,Male,West,Washington,Seattle,Beauty,1,116.28,116.28,Online
ORD-100125,2024-07-31,CUST-6928,23,Male,Northeast,New York,Buffalo,Sports,7,140.51,983.57,Online
ORD-100126,2023-09-28,CUST-6562,32,Male,Midwest,Illinois,Naperville,Electronics,4,548.26,2193.04,Online
ORD-100127,2022-10-30,CUST-4871,24,Male,Midwest,Illinois,Naperville,Clothing,2,38.91,77.82,In-Store
ORD-100128,2024-10-08,CUST-8601,66,Female,West,Colorado,Colorado Springs,Sports,6,218.78,1312.68,In-Store
ORD-100129,2022-11-06,CUST-8205,22,Male,South,Florida,Tampa,Electronics,6,329.04,1974.24,Online
ORD-100130,2024-07-14,CUST-1616,21,Male,South,Texas,Austin,Electronics,7,304.49,2131.43,Online
ORD-100131,2022-03-26,CUST-8368,69,Female,Midwest,Ohio,Cincinnati,Beauty,3,115.35,346.05,Online
ORD-100132,2023-12-05,CUST-2381,50,Female,Northeast,New York,Rochester,Beauty,8,67.65,541.2,In-Store
ORD-100133,2024-01-16,CUST-7108,36,Male,South,Georgia,Athens,Electronics,6,86.25,517.5,Online
ORD-100134,2024-03-02,CUST-5655,34,Female,Midwest,Ohio,Columbus,Sports,3,230.85,692.55,Online
ORD-100135,2024-03-13,CUST-3112,56,Female,Northeast,Massachusetts,Springfield,Beauty,6,99.45,596.7,In-Store
ORD-100136,2024-12-14,CUST-2531,59,Female,South,Texas,Dallas,Home,3,286.33,858.99,Online
ORD-100137,2024-09-22,CUST-4145,32,Other,Midwest,Illinois,Aurora,Electronics,1,414.06,414.06,In-Store
ORD-100138,2022-09-26,CUST-7172,27,Male,Midwest,Michigan,Grand Rapids,Electronics,7,250.36,1752.52,In-Store
ORD-100139,2024-06-28,CUST-5668,66,Female,West,California,San Jose,Clothing,5,145.36,726.8,In-Store
ORD-100140,2023-02-02,CUST-7026,61,Female,West,Washington,Spokane,Beauty,7,116.29,814.03,In-Store
ORD-100141,2022-10-11,CUST-5096,21,Female,South,Georgia,Atlanta,Sports,2,85.56,171.12,In-Store
ORD-100142,2023-07-13,CUST-8361,75,Female,West,California,Los Angeles,Beauty,6,112.35,674.1,Online
ORD-100143,2024-03-22,CUST-9224,41,Male,Northeast,Massachusetts,Boston,Electronics,6,561.95,3371.7,In-Store
ORD-100144,2023-11-18,CUST-3392,26,Male,West,Colorado,Denver,Beauty,8,77.69,621.52,In-Store
ORD-100145,2022-02-08,CUST-5193,31,Female,West,California,San Diego,Clothing,5,31.45,157.25,Online
ORD-100146,2024-07-25,CUST-2029,25,Female,West,Colorado,Colorado Springs,Electronics,4,445.2,1780.8,Online
ORD-100147,2022-01-04,CUST-6780,33,Female,Midwest,Michigan,Ann Arbor,Electronics,6,87.22,523.32,Online
ORD-100148,2024-11-05,CUST-9316,53,Male,West,California,San Jose,Beauty,6,37.9,227.4,Online
ORD-100149,2022-05-19,CUST-6649,33,Female,Northeast,Pennsylvania,Allentown,Home,3,32.41,97.23,Online
ORD-100150,2022-12-25,CUST-8612,62,Male,Midwest,Illinois,Chicago,Beauty,1,42.28,42.28,Online
ORD-100151,2023-02-13,CUST-1686,38,Female,West,Colorado,Boulder,Home,1,230.92,230.92,Online
ORD-100152,2024-01-02,CUST-1783,73,Female,South,Texas,Dallas,Beauty,7,91.76,642.32,In-Store
ORD-100153,2024-03-02,CUST-6554,29,Female,West,Washington,Tacoma,Home,2,223.58,447.16,Online
ORD-100154,2023-01-05,CUST-9937,36,Male,Northeast,Massachusetts,Springfield,Home,5,144.86,724.3,In-Store
ORD-100155,2022-12-08,CUST-8272,40,Male,South,Georgia,Savannah,Home,1,41.01,41.01,In-Store
ORD-100156,2024-01-15,CUST-9406,69,Female,Midwest,Illinois,Chicago,Sports,8,28.0,224.0,Online
ORD-100157,2024-01-21,CUST-6933,42,Female,Northeast,Pennsylvania,Philadelphia,Beauty,6,50.92,305.52,In-Store
ORD-100158,2022-10-09,CUST-9674,41,Male,South,Texas,Houston,Electronics,3,324.47,973.41,Online
ORD-100159,2022-08-30,CUST-5288,67,Male,West,California,San Jose,Home,8,76.05,608.4,Online
ORD-100160,2022-06-01,CUST-8406,29,Female,West,California,San Jose,Home,6,218.67,1312.02,Online
ORD-100161,2023-08-18,CUST-5914,72,Male,Midwest,Ohio,Cincinnati,Clothing,2,147.99,295.98,In-Store
ORD-100162,2023-04-30,CUST-9094,19,Male,South,Florida,Tampa,Clothing,2,23.88,47.76,Online
ORD-100163,2024-09-07,CUST-9612,44,Female,Northeast,New York,Buffalo,Electronics,8,306.21,2449.68,Online
ORD-100164,2022-09-20,CUST-3981,67,Other,West,Colorado,Denver,Electronics,3,217.27,651.81,Online
ORD-100165,2023-04-07,CUST-6669,51,Female,Northeast,Massachusetts,Boston,Sports,5,48.79,243.95,Online
ORD-100166,2024-12-28,CUST-2530,50,Female,Midwest,Illinois,Naperville,Sports,6,213.78,1282.68,Online
ORD-100167,2022-02-28,CUST-2330,20,Female,South,Georgia,Atlanta,Sports,7,162.16,1135.12,Online
ORD-100168,2023-08-17,CUST-5949,48,Male,West,Washington,Spokane,Electronics,1,136.94,136.94,Online
ORD-100169,2024-08-09,CUST-4342,39,Female,South,Georgia,Savannah,Home,7,56.61,396.27,Online
ORD-100170,2022-08-06,CUST-6228,33,Male,South,Florida,Miami,Clothing,2,21.83,43.66,In-Store
ORD-100171,2024-05-06,CUST-5067,73,Female,South,Georgia,Athens,Home,4,233.67,934.68,Online
ORD-100172,2024-11-20,CUST-8648,49,Female,West,California,Los Angeles,Beauty,8,116.34,930.72,Online
ORD-100173,2023-12-24,CUST-1797,21,Male,West,Washington,Tacoma,Electronics,2,287.01,574.02,In-Store
ORD-100174,2024-01-20,CUST-7606,41,Male,Northeast,Pennsylvania,Allentown,Clothing,6,89.69,538.14,Online
ORD-100175,2024-10-29,CUST-8378,66,Female,Northeast,New York,New York,Beauty,6,97.44,584.64,Online
ORD-100176,2024-01-19,CUST-3363,30,Female,West,Colorado,Denver,Electronics,1,125.37,125.37,Online
ORD-100177,2024-08-28,CUST-9508,47,Male,Midwest,Ohio,Cincinnati,Home,3,130.03,390.09,In-Store
ORD-100178,2023-09-05,CUST-6511,50,Female,West,Colorado,Colorado Springs,Home,8,248.41,1987.28,Online
ORD-100179,2022-08-13,CUST-7824,55,Male,Northeast,Pennsylvania,Pittsburgh,Home,4,221.99,887.96,Online
ORD-100180,2022-12-16,CUST-9589,58,Female,West,California,San Jose,Clothing,1,92.3,92.3,In-Store
ORD-100181,2023-01-26,CUST-1310,46,Male,Midwest,Ohio,Cincinnati,Clothing,7,82.75,579.25,In-Store
ORD-100182,2024-08-23,CUST-2020,63,Male,Midwest,Michigan,Grand Rapids,Beauty,7,44.51,311.57,Online
ORD-100183,2024-12-27,CUST-6608,52,Male,South,Georgia,Savannah,Clothing,4,52.67,210.68,Online
ORD-100184,2023-09-02,CUST-5735,63,Male,West,Washington,Spokane,Home,5,100.58,502.9,Online
ORD-100185,2024-02-17,CUST-7464,70,Male,Midwest,Ohio,Columbus,Home,2,116.98,233.96,Online
ORD-100186,2023-06-10,CUST-8849,31,Male,South,Georgia,Athens,Home,3,50.58,151.74,In-Store
ORD-100187,2023-05-06,CUST-4972,21,Female,Midwest,Michigan,Detroit,Electronics,2,277.32,554.64,In-Store
ORD-100188,2022-07-25,CUST-3252,18,Other,Midwest,Ohio,Cincinnati,Beauty,8,81.56,652.48,In-Store
ORD-100189,2023-08-12,CUST-6262,36,Female,Northeast,Pennsylvania,Allentown,Clothing,1,138.29,138.29,Online
ORD-100190,2022-12-27,CUST-1595,71,Male,West,California,San Jose,Home,1,22.59,22.59,Online
ORD-100191,2022-08-08,CUST-6489,36,Male,West,California,San Jose,Beauty,5,31.21,156.05,Online
ORD-100192,2022-11-29,CUST-8518,59,Male,Midwest,Illinois,Naperville,Home,5,178.98,894.9,In-Store
ORD-100193,2022-12-26,CUST-7643,70,Male,South,Texas,Dallas,Electronics,3,589.93,1769.79,Online
ORD-100194,2023-05-24,CUST-1111,34,Male,West,Washington,Spokane,Home,1,93.23,93.23,Online
ORD-100195,2023-04-29,CUST-2017,60,Male,South,Texas,Dallas,Sports,5,178.77,893.85,In-Store
ORD-100196,2023-08-28,CUST-7021,57,Male,Midwest,Ohio,Columbus,Beauty,6,55.74,334.44,Online
ORD-100197,2024-08-22,CUST-9806,69,Female,Midwest,Illinois,Naperville,Sports,2,140.87,281.74,Online
ORD-100198,2024-01-11,CUST-2279,54,Male,Midwest,Michigan,Ann Arbor,Clothing,3,59.3,177.9,Online
ORD-100199,2022-08-27,CUST-4365,63,Female,Northeast,Pennsylvania,Pittsburgh,Electronics,8,122.57,980.56,Online
ORD-100200,2022-04-29,CUST-8575,61,Female,Northeast,Massachusetts,Worcester,Electronics,4,368.07,1472.28,Online
ORD-100201,2023-12-07,CUST-2044,52,Other,Northeast,Massachusetts,Boston,Home,7,70.39,492.73,Online
ORD-100202,2024-05-10,CUST-7135,75,Male,West,Washington,Seattle,Sports,3,170.31,510.93,Online
ORD-100203,2023-01-01,CUST-9802,43,Female,Midwest,Illinois,Chicago,Home,8,208.58,1668.64,Online
ORD-100204,2024-12-25,CUST-7214,70,Male,West,Washington,Seattle,Home,4,282.47,1129.88,In-Store
ORD-100205,2022-08-20,CUST-1527,69,Female,Northeast,New York,New York,Electronics,2,376.67,753.34,Online
ORD-100206,2022-04-10,CUST-5009,65,Male,West,California,San Jose,Clothing,1,33.92,33.92,In-Store
ORD-100207,2023-04-25,CUST-6224,54,Female,South,Texas,Dallas,Clothing,4,70.83,283.32,Online
ORD-100208,2022-12-25,CUST-7999,53,Female,South,Georgia,Athens,Beauty,6,86.59,519.54,Online
ORD-100209,2023-09-07,CUST-7167,29,Female,West,California,Los Angeles,Home,3,245.62,736.86,In-Store
ORD-100210,2024-04-25,CUST-7824,53,Female,West,California,San Diego,Clothing,6,102.31,613.86,In-Store
ORD-100211,2024-01-30,CUST-2514,52,Female,Midwest,Illinois,Aurora,Beauty,1,106.1,106.1,Online
ORD-100212,2023-03-21,CUST-8854,31,Female,South,Florida,Miami,Clothing,4,144.88,579.52,Online
ORD-100213,2024-09-07,CUST-4974,62,Female,Midwest,Ohio,Columbus,Sports,6,198.37,1190.22,Online
ORD-100214,2024-12-28,CUST-6886,37,Male,West,Washington,Seattle,Beauty,6,110.58,663.48,Online
ORD-100215,2024-04-27,CUST-1749,54,Female,Midwest,Illinois,Aurora,Sports,7,87.89,615.23,Online
ORD-100216,2023-04-17,CUST-7223,54,Female,West,Colorado,Colorado Springs,Home,5,233.74,1168.7,Online
ORD-100217,2024-10-01,CUST-8550,28,Female,South,Texas,Houston,Sports,8,62.33,498.64,In-Store
ORD-100218,2022-05-01,CUST-9584,20,Female,Northeast,Pennsylvania,Philadelphia,Electronics,7,125.62,879.34,In-Store
ORD-100219,2022-05-20,CUST-3474,18,Male,West,Washington,Seattle,Sports,8,171.64,1373.12,Online
ORD-100220,2024-12-25,CUST-7739,18,Male,South,Georgia,Savannah,Electronics,7,493.39,3453.73,In-Store
ORD-100221,2022-08-08,CUST-2578,51,Male,Midwest,Michigan,Ann Arbor,Home,6,94.85,569.1,Online
ORD-100222,2024-02-04,CUST-7652,47,Female,Midwest,Ohio,Cincinnati,Electronics,1,101.43,101.43,Online
ORD-100223,2024-09-01,CUST-1919,58,Male,Midwest,Illinois,Aurora,Beauty,6,72.24,433.44,In-Store
ORD-100224,2022-07-15,CUST-9653,20,Male,West,Washington,Seattle,Electronics,5,544.62,2723.1,Online
ORD-100225,2022-03-09,CUST-3938,72,Male,Midwest,Michigan,Detroit,Beauty,2,42.92,85.84,Online
ORD-100226,2024-03-07,CUST-9856,39,Male,Midwest,Michigan,Ann Arbor,Electronics,6,79.53,477.18,Online
ORD-100227,2022-06-05,CUST-6580,56,Female,West,Washington,Seattle,Home,8,157.37,1258.96,Online
ORD-100228,2024-02-08,CUST-8075,29,Female,West,California,San Jose,Home,4,219.67,878.68,Online
ORD-100229,2022-11-12,CUST-7225,63,Female,Midwest,Michigan,Grand Rapids,Home,6,49.83,298.98,Online
ORD-100230,2023-09-24,CUST-8286,41,Female,Northeast,New York,New York,Clothing,7,75.59,529.13,Online
ORD-100231,2024-04-15,CUST-2692,19,Male,Northeast,Pennsylvania,Allentown,Home,7,23.46,164.22,Online
ORD-100232,2022-06-23,CUST-4977,54,Female,West,California,Los Angeles,Home,5,95.15,475.75,Online
ORD-100233,2022-12-09,CUST-8121,35,Male,West,California,San Diego,Home,4,221.85,887.4,Online
ORD-100234,2023-02-05,CUST-8501,24,Male,Northeast,Massachusetts,Worcester,Sports,7,204.94,1434.58,Online
ORD-100235,2023-11-17,CUST-8055,70,Female,Midwest,Ohio,Cleveland,Sports,4,130.17,520.68,Online
ORD-100236,2024-03-26,CUST-6228,36,Female,West,Colorado,Denver,Home,7,98.48,689.36,In-Store
ORD-100237,2024-01-18,CUST-2865,54,Male,Midwest,Michigan,Ann Arbor,Electronics,8,568.64,4549.12,Online
ORD-100238,2023-08-20,CUST-2133,70,Female,West,Colorado,Boulder,Clothing,5,47.67,238.35,In-Store
ORD-100239,2024-05-16,CUST-7176,22,Male,West,Colorado,Boulder,Sports,7,145.04,1015.28,In-Store
ORD-100240,2024-01-07,CUST-9796,56,Female,Northeast,New York,New York,Home,3,201.16,603.48,Online
